Time,Vehicle Speed (m/s),Vehicle Speed (Kmph),Motor Speed (RPM),Gradient (Degree),"Mode, Eco-1, Boost-2",Total Motor Torque (Nm),Total Number of Power Wheel (No),PerMotor Torque (Nm),Motoring Tractive Force F_Tractive (N),Froll (N),Fdrag (N),Fclimb (N),F_Load Resitance  (N),Net Force F_Net(N),Vehicle Acceleration (m/s),Motor Power (kW)
0,0.0,0.0,0.0,60,2,104.0,2,52.0,1845.5627906976742,29.400000000000002,0.0,1273.0572324336108,1302.457232433611,543.1055582640633,3.6207037217604223,0.0
1,3.6207037217604223,13.034533398337521,645.8568222601983,60,2,104.0,2,52.0,1845.5627906976742,29.400000000000002,3.051891026913709,1273.0572324336108,1305.5091234605245,540.0536672371497,3.6003577815809984,7.033932700022759
2,7.221061503341421,25.995821412029116,1288.0843599171844,60,2,104.0,2,52.0,1845.5627906976742,29.400000000000002,12.139062108166891,1273.0572324336108,1314.5962945417778,530.9664961558965,3.53977664103931,14.028339389375091
3,10.760838144380731,38.73901731977063,1919.505505799002,60,2,104.0,2,52.0,1845.5627906976742,29.400000000000002,26.957228739349492,1273.0572324336108,1329.4144611729603,516.148329524714,3.440988863498093,20.90505523788346
4,14.201827007878824,51.12657722836377,2533.305005452916,60,2,82.9290292440495,2,41.46451462202475,1471.6416407836252,29.400000000000002,46.95387958882742,1273.0572324336108,1349.4111120224381,122.23052876118709,0.8148701917412473,21.999999999999996
5,15.016697199620072,54.060109918632264,2678.660580787501,60,2,78.42894556634681,2,39.214472783173406,1391.7840735663751,29.400000000000002,52.49668654543485,1273.0572324336108,1354.9539189790457,36.83015458732939,0.24553436391552927,22.0
6,15.262231563535602,54.94403362872817,2722.458708505353,60,2,77.16720339043805,2,38.58360169521902,1369.393454226845,29.400000000000002,54.22744249959286,1273.0572324336108,1356.6846749332037,12.708779293641328,0.08472519529094219,22.000000000000004
7,15.346956758826543,55.24904433177556,2737.5718880420022,60,2,76.74119017621888,2,38.37059508810944,1361.8335106065717,29.400000000000002,54.8311790060851,1273.0572324336108,1357.288411439696,4.545099166875843,0.030300661112505622,22.000000000000004
8,15.377257419939049,55.35812671178058,2742.976883921917,60,2,76.58997278202445,2,38.29498639101222,1359.1500375678072,29.400000000000002,55.047907460375754,1273.0572324336108,1357.5051398939866,1.644897673820651,0.010965984492137674,22.0
9,15.388223404431187,55.397604255952274,2744.932983189162,60,2,76.53539309262776,2,38.26769654631388,1358.1814775305152,29.400000000000002,55.12644809023302,1273.0572324336108,1357.583680523844,0.5977970066712714,0.003985313377808476,22.000000000000004
10,15.392208717808996,55.411951384112385,2745.6438786480844,60,2,76.51557673413366,2,38.25778836706683,1357.8298204739397,29.400000000000002,55.155005593492014,1273.0572324336108,1357.6122380271029,0.2175824468367864,0.001450549645578576,22.0
